排名,国家/地区,GDP总量(人民币核算),所属洲,年份
排名第147,冈比亚,￥27.19388亿元,,1992
排名第148,吉布提,￥26.36648亿元,非洲国家,1992
排名第149,塞舌尔,￥23.93944亿元,非洲国家,1992
排名第150,佛得角,￥21.7882亿元,非洲国家,1992
排名第151,格林纳达,￥17.0996亿元,美洲国家,1992
排名第152,马尔代夫,￥16.87896亿元,亚洲国家,1992
排名第153,塔吉克斯坦,￥16.05156亿元,亚洲国家,1992
排名第154,科摩罗,￥15.49996亿元,非洲国家,1992
排名第155,圣文森特和格林纳丁斯,￥15.33448亿元,美洲国家,1992
排名第156,所罗门群岛,￥14.39676亿元,大洋州国家,1992
排名第157,不丹,￥13.12808亿元,亚洲国家,1992
排名第158,多米尼克,￥12.90744亿元,美洲国家,1992
排名第159,圣基茨和尼维斯,￥12.30068亿元,美洲国家,1992
排名第160,瓦努阿图,￥11.52844亿元,大洋州国家,1992
排名第161,西萨摩亚,￥10.37008亿元,大洋州国家,1992
排名第162,汤加,￥9.9288亿元,大洋州国家,1992
排名第163,赤道几内亚,￥8.8256亿元,非洲国家,1992
排名第164,亚美尼亚,￥5.95728亿元,亚洲国家,1992
排名第165,圣多美和普林西比Sao,￥5.29536亿元,,1992
排名第166,基里巴斯,￥2.64768亿元,大洋州国家,1992
排名第167,瑙鲁,￥0亿元,大洋州国家,1992
排名第168,立陶宛,￥0亿元,欧洲国家,1992
排名第169,图瓦卢,￥0亿元,大洋州国家,1992
排名第170,索马里,￥0亿元,非洲国家,1992
排名第171,斯洛伐克,￥0亿元,欧洲国家,1992
排名第172,圣马力诺,￥0亿元,欧洲国家,1992
排名第173,贝劳,￥0亿元,,1992
排名第174,缅甸,￥0亿元,亚洲国家,1992
排名第175,中国澳门,￥0亿元,亚洲,1992
排名第176,马绍尔群岛,￥0亿元,大洋州国家,1992
排名第177,波斯尼亚和黑塞哥维那,￥0亿元,,1992
排名第178,利比里亚,￥0亿元,非洲国家,1992
排名第179,马耳他,￥0亿元,欧洲国家,1992
排名第180,阿富汗,￥0亿元,亚洲国家,1992
排名第181,伊拉克,￥0亿元,亚洲国家,1992
排名第182,格鲁吉亚,￥0亿元,亚洲国家,1992
排名第183,爱沙尼亚,￥0亿元,欧洲国家,1992
排名第184,捷克,￥0亿元,欧洲国家,1992
排名第185,密克罗尼西亚,￥0亿元,大洋州国家,1992
排名第1,美国,￥396350.694亿元,美洲国家,1993
排名第2,日本,￥256348.499亿元,亚洲国家,1993
排名第3,德国,￥119260.1474亿元,欧洲国家,1993
排名第4,法国,￥76730.2492亿元,欧洲国家,1993
排名第5,英国,￥65640.704亿元,欧洲国家,1993
排名第6,意大利,￥60929.6928亿元,欧洲国家,1993
排名第7,中国,￥35900.37148亿元,亚洲国家,1993
排名第8,加拿大,￥33258.264亿元,美洲国家,1993
排名第9,西班牙,￥30423.82096亿元,欧洲国家,1993
排名第10,墨西哥,￥27629.9424亿元,美洲国家,1993
排名第11,巴西,￥25254.73076亿元,美洲国家,1993
排名第12,韩国,￥22258.14504亿元,亚洲国家,1993
排名第13,荷兰,￥20057.57962亿元,欧洲国家,1993
排名第14,澳大利亚,￥17841.4568亿元,大洋州国家,1993
排名第15,印度,￥16375.25828亿元,亚洲国家,1993
排名第16,瑞士,￥15223.66496亿元,欧洲国家,1993
排名第17,阿根廷,￥14771.7513亿元,美洲国家,1993
排名第18,土耳其,￥14315.51614亿元,亚洲国家,1993
排名第19,中国台湾,￥13550.26492亿元,亚洲,1993
排名第20,比利时,￥12672.48184亿元,欧洲国家,1993
排名第21,瑞典,￥12099.16284亿元,欧洲国家,1993
排名第22,俄罗斯,￥11375.80136亿元,欧洲国家,1993
排名第23,印度尼西亚,￥11000.40706亿元,亚洲国家,1993
排名第24,奥地利,￥10945.37996亿元,欧洲国家,1993
排名第25,丹麦,￥8251.7602亿元,欧洲国家,1993
排名第26,南非,￥7740.9589亿元,非洲国家,1993
排名第27,沙特阿拉伯,￥7651.41742亿元,亚洲国家,1993
排名第28,泰国,￥7426.6418亿元,亚洲国家,1993
排名第29,中国香港,￥6934.8551亿元,亚洲,1993
排名第30,挪威,￥6929.78454亿元,欧洲国家,1993
排名第31,希腊,￥6281.1562亿元,欧洲国家,1993
排名第32,葡萄牙,￥5482.48538亿元,欧洲国家,1993
排名第33,波兰,￥5206.88892亿元,欧洲国家,1993
排名第34,芬兰,￥5146.79126亿元,欧洲国家,1993
排名第35,哥伦比亚,￥4505.5959亿元,美洲国家,1993
排名第36,以色列,￥4263.64952亿元,亚洲国家,1993
排名第37,马来西亚,￥4139.24794亿元,亚洲国家,1993
排名第38,巴基斯坦,￥3886.06566亿元,亚洲国家,1993
排名第39,伊朗,￥3730.895亿元,亚洲国家,1993
排名第40,新加坡,￥3494.19204亿元,亚洲国家,1993
排名第41,菲律宾,￥3470.85594亿元,亚洲国家,1993
排名第42,委内瑞拉,￥3449.4213亿元,美洲国家,1993
排名第43,尼日利亚,￥3273.21934亿元,非洲国家,1993
排名第44,阿闻酋,￥3079.09756亿元,亚洲国家,1993
排名第45,阿尔及利亚,￥2936.48806亿元,非洲国家,1993
排名第46,爱尔兰,￥2929.28556亿元,欧洲国家,1993
排名第47,埃及,￥2853.68812亿元,非洲国家,1993
排名第48,智利,￥2852.59334亿元,美洲国家,1993
排名第49,新西兰,￥2581.31838亿元,大洋州国家,1993
排名第50,匈牙利,￥2305.20334亿元,欧洲国家,1993
排名第51,孟加拉国,￥2203.04308亿元,亚洲国家,1993
排名第52,波多黎各,￥2127.50326亿元,美洲,1993
排名第53,乌克兰,￥2018.1405亿元,欧洲国家,1993
排名第54,秘鲁,￥1978.03698亿元,美洲国家,1993
排名第55,摩洛哥,￥1824.01872亿元,非洲国家,1993
排名第56,利比亚,￥1781.66802亿元,非洲国家,1993
排名第57,科威特,￥1382.64952亿元,亚洲国家,1993
排名第58,也门,￥1252.48594亿元,亚洲国家,1993
排名第59,厄瓜多尔,￥1010.48194亿元,美洲国家,1993
排名第60,乌拉圭,￥954.64816亿元,美洲国家,1993
排名第61,斯洛文尼亚,￥954.41768亿元,欧洲国家,1993
排名第62,突尼斯,￥918.69328亿元,非洲国家,1993
排名第63,卢森堡,￥909.30122亿元,欧洲国家,1993
排名第64,叙利亚,￥794.92552亿元,亚洲国家,1993
排名第65,斯洛伐克,￥787.60778亿元,欧洲国家,1993
排名第66,喀麦隆,￥779.71384亿元,非洲国家,1993
排名第67,越南,￥759.48922亿元,亚洲国家,1993
排名第68,多米尼加共和国,￥753.72722亿元,,1993
排名第69,克罗地亚,￥747.21616亿元,欧洲国家,1993
排名第70,阿曼,￥719.90428亿元,亚洲国家,1993
排名第71,斯里兰卡,￥688.44376亿元,亚洲国家,1993
排名第72,科特迪瓦,￥637.04672亿元,非洲国家,1993
排名第73,白俄罗斯,￥634.9724亿元,欧洲国家,1993
排名第74,危地马拉,￥602.82044亿元,美洲国家,1993
排名第75,加纳,￥559.66306亿元,非洲国家,1993
排名第76,埃塞俄比亚,￥526.81966亿元,非洲国家,1993
排名第77,肯尼亚,￥453.41178亿元,非洲国家,1993
排名第78,巴拿马,￥442.98256亿元,美洲国家,1993
排名第79,黎巴嫩,￥434.1667亿元,亚洲国家,1993
排名第80,巴布亚新几内亚,￥430.82474亿元,大洋州国家,1993
排名第81,巴拉圭,￥417.68738亿元,美洲国家,1993
排名第82,卡塔尔,￥412.38634亿元,亚洲国家,1993
排名第83,塞浦路斯,￥408.98676亿元,亚洲国家,1993
排名第84,萨尔瓦多,￥399.76756亿元,美洲国家,1993
排名第85,津巴布韦,￥377.52624亿元,非洲国家,1993
排名第86,冰岛,￥361.39264亿元,欧洲国家,1993
排名第87,安哥拉,￥351.1939亿元,非洲国家,1993
排名第88,巴林,￥344.91332亿元,亚洲国家,1993
排名第89,加蓬,￥331.71834亿元,非洲国家,1993
排名第90,玻利维亚,￥330.39308亿元,美洲国家,1993
排名第91,苏丹,￥329.12544亿元,非洲国家,1993
排名第92,塞内加尔,￥327.22398亿元,非洲国家,1993
排名第93,约旦,￥318.75384亿元,亚洲国家,1993
排名第94,牙买加,￥317.83192亿元,美洲国家,1993
排名第95,乌兹别克斯坦,￥317.02524亿元,亚洲国家,1993
排名第96,土库曼斯坦,￥309.01606亿元,亚洲国家,1993
排名第97,哈萨克斯坦,￥296.85824亿元,亚洲国家,1993
排名第98,洪都拉斯,￥276.23028亿元,美洲国家,1993
排名第99,特立尼达和多巴哥,￥269.02778亿元,美洲国家,1993
排名第100,几内亚,￥262.86244亿元,非洲国家,1993
排名第101,文莱,￥262.63196亿元,亚洲国家,1993
排名第102,保加利亚,￥245.80692亿元,欧洲国家,1993
排名第103,尼泊尔,￥239.58396亿元,亚洲国家,1993
排名第104,巴哈马,￥230.07666亿元,美洲国家,1993
排名第105,博茨瓦纳,￥228.23282亿元,非洲国家,1993
排名第106,尼加拉瓜,￥214.69212亿元,美洲国家,1993
排名第107,马拉维,￥206.91342亿元,非洲国家,1993
排名第108,赞比亚,￥204.49338亿元,非洲国家,1993
排名第109,坦桑尼亚,￥196.59944亿元,非洲国家,1993
排名第110,马达加斯加,￥194.23702亿元,非洲国家,1993
排名第111,马里,￥193.71844亿元,非洲国家,1993
排名第112,乌干达,￥191.47126亿元,非洲国家,1993
排名第113,毛里求斯,￥190.66458亿元,非洲国家,1993
排名第114,布基纳法索,￥184.384亿元,非洲国家,1993
排名第115,纳米比亚,￥166.57942亿元,非洲国家,1993
排名第116,拉脱维亚,￥157.18736亿元,欧洲国家,1993
排名第117,马斯顿,￥154.82494亿元,欧洲,1993
排名第118,刚果,￥154.65208亿元,非洲国家,1993
排名第119,老挝,￥152.80824亿元,亚洲国家,1993
排名第120,柬埔寨,￥139.84374亿元,亚洲国家,1993
排名第121,贝宁,￥131.02788亿元,非洲国家,1993
排名第122,莫桑比克,￥130.5093亿元,非洲国家,1993
排名第123,尼日尔,￥127.97402亿元,非洲国家,1993
排名第124,巴巴多斯,￥119.5615亿元,美洲国家,1993
排名第125,卢旺达,￥108.38322亿元,非洲国家,1993
排名第126,爱沙尼亚,￥100.20118亿元,欧洲国家,1993
排名第127,乍得,￥94.95776亿元,非洲国家,1993
排名第128,斐济,￥94.2087亿元,大洋州国家,1993
排名第129,斯威士兰,￥85.21998亿元,非洲国家,1993
排名第130,阿尔巴尼亚,￥84.18282亿元,欧洲国家,1993
排名第131,多哥,￥81.41706亿元,非洲国家,1993
排名第132,阿塞拜疆,￥75.42458亿元,亚洲国家,1993
排名第133,中非,￥75.42458亿元,非洲国家,1993
排名第134,毛里塔尼亚,￥72.025亿元,非洲国家,1993
排名第135,塞拉利昂,￥64.64964亿元,非洲国家,1993
排名第136,摩尔多瓦,￥63.9582亿元,欧洲国家,1993
排名第137,布隆迪,￥54.04756亿元,非洲国家,1993
排名第138,蒙古,￥51.97324亿元,亚洲国家,1993
排名第139,莱索托,￥51.51228亿元,非洲国家,1993
排名第140,亚美尼亚,￥48.1127亿元,亚洲国家,1993
排名第141,圭亚那,￥41.54402亿元,美洲国家,1993
排名第142,塔吉克斯坦,￥39.06636亿元,亚洲国家,1993
排名第143,吉尔吉斯斯坦,￥38.3173亿元,亚洲国家,1993
排名第144,海地,￥35.1482亿元,美洲国家,1993
排名第145,圣卢西亚,￥33.65008亿元,美洲国家,1993
排名第146,伯利兹,￥32.2672亿元,美洲国家,1993
排名第147,安提瓜和巴布达,￥30.8267亿元,美洲国家,1993
排名第148,冈比亚,￥30.48098亿元,,1993
排名第149,厄立特里亚,￥27.83046亿元,非洲国家,1993
排名第150,塞舌尔,￥27.31188亿元,非洲国家,1993
排名第151,吉布提,￥26.85092亿元,非洲国家,1993
排名第152,苏里南,￥25.00708亿元,美洲国家,1993
排名第153,佛得角,￥22.93276亿元,非洲国家,1993
排名第154,几内亚比绍,￥22.24132亿元,非洲国家,1993
排名第155,马尔代夫,￥19.93652亿元,亚洲国家,1993
排名第156,格林纳达,￥17.8622亿元,美洲国家,1993
排名第157,所罗门群岛,￥16.76742亿元,大洋州国家,1993
排名第158,圣文森特和格林纳丁斯,￥16.47932亿元,美洲国家,1993
排名第159,科摩罗,￥16.01836亿元,非洲国家,1993
排名第160,不丹,￥14.34738亿元,亚洲国家,1993
排名第161,多米尼克,￥14.17452亿元,美洲国家,1993
排名第162,圣基茨和尼维斯,￥14.00166亿元,美洲国家,1993
排名第163,瓦努阿图,￥11.524亿元,大洋州国家,1993
排名第164,西萨摩亚,￥11.12066亿元,大洋州国家,1993
排名第165,汤加,￥10.83256亿元,大洋州国家,1993
排名第166,赤道几内亚,￥9.33444亿元,非洲国家,1993
排名第167,圣多美和普林西比Sao,￥7.31774亿元,,1993
排名第168,基里巴斯,￥2.70814亿元,大洋州国家,1993
排名第169,瑙鲁,￥0亿元,大洋州国家,1993
排名第170,立陶宛,￥0亿元,欧洲国家,1993
排名第171,图瓦卢,￥0亿元,大洋州国家,1993
排名第172,索马里,￥0亿元,非洲国家,1993
排名第173,圣马力诺,￥0亿元,欧洲国家,1993
排名第174,贝劳,￥0亿元,,1993
排名第175,缅甸,￥0亿元,亚洲国家,1993
排名第176,中国澳门,￥0亿元,亚洲,1993
排名第177,马绍尔群岛,￥0亿元,大洋州国家,1993
排名第178,波斯尼亚和黑塞哥维那,￥0亿元,,1993
排名第179,利比里亚,￥0亿元,非洲国家,1993
排名第180,马耳他,￥0亿元,欧洲国家,1993
排名第181,阿富汗,￥0亿元,亚洲国家,1993
排名第182,伊拉克,￥0亿元,亚洲国家,1993
排名第183,格鲁吉亚,￥0亿元,亚洲国家,1993
排名第184,捷克,￥0亿元,欧洲国家,1993
排名第185,密克罗尼西亚,￥0亿元,大洋州国家,1993
排名第1,美国,￥629943.7482亿元,美洲国家,1994
排名第2,日本,￥422984.3202亿元,亚洲国家,1994
排名第3,德国,￥190567.8138亿元,欧洲国家,1994
排名第4,法国,￥121052.1312亿元,欧洲国家,1994
排名第5,英国,￥105222.4758亿元,欧洲国家,1994
排名第6,意大利,￥93998.814亿元,欧洲国家,1994
排名第7,加拿大,￥49829.71422亿元,美洲国家,1994
排名第8,中国,￥48824.13549亿元,亚洲国家,1994
排名第9,巴西,￥48126.25506亿元,美洲国家,1994
排名第10,西班牙,￥45665.53056亿元,欧洲国家,1994
排名第11,墨西哥,￥43778.31432亿元,美洲国家,1994
排名第12,韩国,￥39272.04255亿元,亚洲国家,1994
排名第13,荷兰,￥32227.99242亿元,欧洲国家,1994
排名第14,澳大利亚,￥30444.29037亿元,大洋州国家,1994
排名第15,印度,￥28702.47666亿元,亚洲国家,1994
排名第16,俄罗斯,￥25640.40453亿元,欧洲国家,1994
排名第17,瑞士,￥25229.62299亿元,欧洲国家,1994
排名第18,阿根廷,￥24059.9385亿元,美洲国家,1994
排名第19,中国台湾,￥22102.39122亿元,亚洲,1994
排名第20,比利时,￥20679.65289亿元,欧洲国家,1994
排名第21,瑞典,￥19488.67947亿元,欧洲国家,1994
排名第22,印度尼西亚,￥18421.13013亿元,亚洲国家,1994
排名第23,奥地利,￥17540.87166亿元,欧洲国家,1994
排名第24,土耳其,￥15445.93752亿元,亚洲国家,1994
排名第25,丹麦,￥13461.24039亿元,欧洲国家,1994
排名第26,泰国,￥12642.69396亿元,亚洲国家,1994
排名第27,南非,￥12049.70676亿元,非洲国家,1994
排名第28,中国香港,￥11705.72247亿元,亚洲,1994
排名第29,沙特阿拉伯,￥11635.21905亿元,亚洲国家,1994
排名第30,挪威,￥10954.23186亿元,欧洲国家,1994
排名第31,希腊,￥10044.49641亿元,欧洲国家,1994
排名第32,芬兰,￥8943.16059亿元,欧洲国家,1994
排名第33,波兰,￥8936.43777亿元,欧洲国家,1994
排名第34,葡萄牙,￥8593.31538亿元,欧洲国家,1994
排名第35,哥伦比亚,￥8469.0294亿元,美洲国家,1994
排名第36,以色列,￥7280.29692亿元,亚洲国家,1994
排名第37,伊朗,￥7078.52613亿元,亚洲国家,1994
排名第38,尼日利亚,￥6906.23232亿元,非洲国家,1994
排名第39,马来西亚,￥6893.90715亿元,亚洲国家,1994
排名第40,新加坡,￥6358.75344亿元,亚洲国家,1994
排名第41,菲律宾,￥6119.74857亿元,亚洲国家,1994
排名第42,巴基斯坦,￥5860.74762亿元,亚洲国家,1994
排名第43,委内瑞拉,￥5029.78983亿元,美洲国家,1994
排名第44,阿闻酋,￥4951.6155亿元,亚洲国家,1994
排名第45,智利,￥4922.82804亿元,美洲国家,1994
排名第46,爱尔兰,￥4808.02296亿元,欧洲国家,1994
排名第47,埃及,￥4701.6645亿元,非洲国家,1994
排名第48,新西兰,￥4557.12387亿元,大洋州国家,1994
排名第49,秘鲁,￥3774.43248亿元,美洲国家,1994
排名第50,匈牙利,￥3708.15237亿元,欧洲国家,1994
排名第51,阿尔及利亚,￥3656.69694亿元,非洲国家,1994
排名第52,孟加拉国,￥3580.16022亿元,亚洲国家,1994
排名第53,波多黎各,￥3420.96729亿元,美洲,1994
排名第54,乌克兰,￥3276.25428亿元,欧洲国家,1994
排名第55,摩洛哥,￥3068.79495亿元,非洲国家,1994
排名第56,利比亚,￥2481.92724亿元,非洲国家,1994
排名第57,也门,￥2414.95761亿元,亚洲国家,1994
排名第58,科威特,￥2137.16724亿元,亚洲国家,1994
排名第59,厄瓜多尔,￥1822.65993亿元,美洲国家,1994
排名第60,乌拉圭,￥1663.38081亿元,美洲国家,1994
排名第61,卢森堡,￥1513.58259亿元,欧洲国家,1994
排名第62,克罗地亚,￥1495.31031亿元,欧洲国家,1994
排名第63,突尼斯,￥1469.71188亿元,非洲国家,1994
排名第64,斯洛文尼亚,￥1446.52677亿元,欧洲国家,1994
排名第65,越南,￥1405.93128亿元,亚洲国家,1994
排名第66,斯洛伐克,￥1359.38868亿元,欧洲国家,1994
排名第67,白俄罗斯,￥1305.95088亿元,欧洲国家,1994
排名第68,叙利亚,￥1301.89995亿元,亚洲国家,1994
排名第69,多米尼加共和国,￥1262.25255亿元,,1994
排名第70,斯里兰卡,￥1187.78439亿元,亚洲国家,1994
排名第71,阿曼,￥1113.48861亿元,亚洲国家,1994
排名第72,危地马拉,￥1021.78245亿元,美洲国家,1994
排名第73,哈萨克斯坦,￥1003.94112亿元,亚洲国家,1994
排名第74,肯尼亚,￥812.08218亿元,非洲国家,1994
排名第75,喀麦隆,￥793.55133亿元,非洲国家,1994
排名第76,黎巴嫩,￥785.1909亿元,亚洲国家,1994
排名第77,加纳,￥764.67768亿元,非洲国家,1994
排名第78,科特迪瓦,￥717.87651亿元,非洲国家,1994
排名第79,巴布亚新几内亚,￥708.22323亿元,大洋州国家,1994
排名第80,巴拿马,￥706.58562亿元,美洲国家,1994
排名第81,埃塞俄比亚,￥701.15565亿元,非洲国家,1994
排名第82,萨尔瓦多,￥696.93234亿元,美洲国家,1994
排名第83,塞浦路斯,￥689.86476亿元,亚洲国家,1994
排名第84,巴拉圭,￥678.40149亿元,美洲国家,1994
排名第85,保加利亚,￥646.425亿元,欧洲国家,1994
排名第86,卡塔尔,￥635.56506亿元,亚洲国家,1994
排名第87,津巴布韦,￥593.76291亿元,非洲国家,1994
排名第88,乌兹别克斯坦,￥562.04499亿元,亚洲国家,1994
排名第89,苏丹,￥559.3731亿元,非洲国家,1994
排名第90,冰岛,￥554.89122亿元,欧洲国家,1994
排名第91,巴林,￥552.56409亿元,亚洲国家,1994
排名第92,约旦,￥534.11943亿元,亚洲国家,1994
排名第93,玻利维亚,￥514.5543亿元,美洲国家,1994
排名第94,牙买加,￥476.54451亿元,美洲国家,1994
排名第95,特立尼达和多巴哥,￥426.38193亿元,美洲国家,1994
排名第96,乌干达,￥414.48771亿元,非洲国家,1994
排名第97,几内亚,￥405.69633亿元,非洲国家,1994
排名第98,洪都拉斯,￥404.48967亿元,美洲国家,1994
排名第99,土库曼斯坦,￥391.47498亿元,亚洲国家,1994
排名第100,文莱,￥391.04403亿元,亚洲国家,1994
排名第101,拉脱维亚,￥390.61308亿元,欧洲国家,1994
排名第102,加蓬,￥384.66597亿元,非洲国家,1994
排名第103,安哥拉,￥382.51122亿元,非洲国家,1994
排名第104,尼泊尔,￥374.40936亿元,亚洲国家,1994
排名第105,博茨瓦纳,￥367.25559亿元,非洲国家,1994
排名第106,巴哈马,￥362.68752亿元,美洲国家,1994
排名第107,塞内加尔,￥334.15863亿元,非洲国家,1994
排名第108,尼加拉瓜,￥332.77959亿元,美洲国家,1994
排名第109,毛里求斯,￥316.57587亿元,非洲国家,1994
排名第110,赞比亚,￥315.19683亿元,非洲国家,1994
排名第111,坦桑尼亚,￥312.61113亿元,非洲国家,1994
排名第112,马斯顿,￥306.92259亿元,欧洲,1994
排名第113,纳米比亚,￥280.46226亿元,非洲国家,1994
排名第114,老挝,￥265.55139亿元,亚洲国家,1994
排名第115,马达加斯加,￥256.58763亿元,非洲国家,1994
排名第116,柬埔寨,￥238.31535亿元,亚洲国家,1994
排名第117,马里,￥221.93925亿元,非洲国家,1994
排名第118,莫桑比克,￥211.85502亿元,非洲国家,1994
排名第119,爱沙尼亚,￥209.87265亿元,欧洲国家,1994
排名第120,阿尔巴尼亚,￥203.49459亿元,欧洲国家,1994
排名第121,阿塞拜疆,￥194.61702亿元,亚洲国家,1994
排名第122,巴巴多斯,￥186.42897亿元,美洲国家,1994
排名第123,马拉维,￥179.36139亿元,非洲国家,1994
排名第124,布基纳法索,￥165.82956亿元,非洲国家,1994
排名第125,斐济,￥157.29675亿元,大洋州国家,1994
排名第126,海地,￥152.98725亿元,美洲国家,1994
排名第127,刚果,￥152.47011亿元,非洲国家,1994
排名第128,斯威士兰,￥138.59352亿元,非洲国家,1994
排名第129,贝宁,￥137.73162亿元,非洲国家,1994
排名第130,尼日尔,￥134.71497亿元,非洲国家,1994
排名第131,乍得,￥115.06365亿元,非洲国家,1994
排名第132,塞拉利昂,￥114.71889亿元,非洲国家,1994
排名第133,毛里塔尼亚,￥113.42604亿元,非洲国家,1994
排名第134,卢旺达,￥102.99705亿元,非洲国家,1994
排名第135,摩尔多瓦,￥99.80802亿元,欧洲国家,1994
排名第136,吉尔吉斯斯坦,￥95.49852亿元,亚洲国家,1994
排名第137,多哥,￥94.37805亿元,非洲国家,1994
排名第138,蒙古,￥93.25758亿元,亚洲国家,1994
排名第139,莱索托,￥81.27717亿元,非洲国家,1994
排名第140,布隆迪,￥79.63956亿元,非洲国家,1994
排名第141,圭亚那,￥75.33006亿元,美洲国家,1994
排名第142,中非,￥73.95102亿元,非洲国家,1994
排名第143,塔吉克斯坦,￥71.45151亿元,亚洲国家,1994
排名第144,格鲁吉亚,￥71.27913亿元,亚洲国家,1994
排名第145,亚美尼亚,￥55.85112亿元,亚洲国家,1994
排名第146,圣卢西亚,￥52.74828亿元,美洲国家,1994
排名第147,安提瓜和巴布达,￥50.76591亿元,美洲国家,1994
排名第148,伯利兹,￥50.07639亿元,美洲国家,1994
排名第149,厄立特里亚,￥48.2664亿元,非洲国家,1994
排名第150,冈比亚,￥45.07737亿元,,1994
排名第151,吉布提,￥42.40548亿元,非洲国家,1994
排名第152,苏里南,￥42.06072亿元,美洲国家,1994
排名第153,塞舌尔,￥41.88834亿元,非洲国家,1994
排名第154,佛得角,￥38.61312亿元,非洲国家,1994
排名第155,几内亚比绍,￥37.49265亿元,非洲国家,1994
排名第156,马尔代夫,￥32.92458亿元,亚洲国家,1994
排名第157,所罗门群岛,￥31.80411亿元,大洋州国家,1994
排名第158,格林纳达,￥28.01175亿元,美洲国家,1994
排名第159,圣文森特和格林纳丁斯,￥24.90891亿元,美洲国家,1994
排名第160,圣基茨和尼维斯,￥23.44368亿元,美洲国家,1994
排名第161,多米尼克,￥22.75416亿元,美洲国家,1994
排名第162,不丹,￥21.80607亿元,亚洲国家,1994
排名第163,瓦努阿图,￥20.16846亿元,大洋州国家,1994
排名第164,汤加,￥17.49657亿元,大洋州国家,1994
排名第165,科摩罗,￥16.03134亿元,非洲国家,1994
排名第166,西萨摩亚,￥13.27326亿元,大洋州国家,1994
排名第167,圣多美和普林西比Sao,￥11.37708亿元,,1994
排名第168,赤道几内亚,￥10.3428亿元,非洲国家,1994
排名第169,基里巴斯,￥4.74045亿元,大洋州国家,1994
排名第170,瑙鲁,￥0亿元,大洋州国家,1994
排名第171,波斯尼亚和黑塞哥维那,￥0亿元,,1994
排名第172,捷克,￥0亿元,欧洲国家,1994
排名第173,伊拉克,￥0亿元,亚洲国家,1994
排名第174,阿富汗,￥0亿元,亚洲国家,1994
排名第175,马耳他,￥0亿元,欧洲国家,1994
排名第176,利比里亚,￥0亿元,非洲国家,1994
排名第177,立陶宛,￥0亿元,欧洲国家,1994
排名第178,马绍尔群岛,￥0亿元,大洋州国家,1994
排名第179,密克罗尼西亚,￥0亿元,大洋州国家,1994
排名第180,缅甸,￥0亿元,亚洲国家,1994
排名第181,贝劳,￥0亿元,,1994
排名第182,圣马力诺,￥0亿元,欧洲国家,1994
排名第183,索马里,￥0亿元,非洲国家,1994
排名第184,图瓦卢,￥0亿元,大洋州国家,1994
排名第185,中国澳门,￥0亿元,亚洲,1994
排名第1,美国,￥640024.8155亿元,美洲国家,1995
排名第2,日本,￥455197.1431亿元,亚洲国家,1995
排名第3,德国,￥216655.8387亿元,欧洲国家,1995
排名第4,法国,￥134551.312亿元,欧洲国家,1995
排名第5,英国,￥110284.9762亿元,欧洲国家,1995
排名第6,意大利,￥97832.8001亿元,欧洲国家,1995
排名第7,巴西,￥65678.86129亿元,美洲国家,1995
排名第8,中国,￥61536.0137亿元,亚洲国家,1995
排名第9,西班牙,￥51142.60963亿元,欧洲国家,1995
排名第10,加拿大,￥50442.87934亿元,美洲国家,1995
排名第11,韩国,￥46469.05599亿元,亚洲国家,1995
排名第12,荷兰,￥37323.29132亿元,欧洲国家,1995
排名第13,澳大利亚,￥31715.51131亿元,大洋州国家,1995
排名第14,印度,￥30614.766亿元,亚洲国家,1995
排名第15,墨西哥,￥28943.22984亿元,美洲国家,1995
排名第16,瑞士,￥28627.31151亿元,欧洲国家,1995
排名第17,俄罗斯,￥28127.8382亿元,欧洲国家,1995
排名第18,比利时,￥24209.88304亿元,欧洲国家,1995
排名第19,阿根廷,￥23389.4808亿元,美洲国家,1995
排名第20,中国台湾,￥23321.8377亿元,亚洲,1995
排名第21,瑞典,￥22054.07239亿元,欧洲国家,1995
排名第22,印度尼西亚,￥20395.39677亿元,亚洲国家,1995
排名第23,奥地利,￥20104.78197亿元,欧洲国家,1995
排名第24,土耳其,￥19486.2234亿元,亚洲国家,1995
排名第25,丹麦,￥15452.85742亿元,欧洲国家,1995
排名第26,泰国,￥14136.48929亿元,亚洲国家,1995
排名第27,南非,￥12982.54811亿元,非洲国家,1995
排名第28,挪威,￥12697.44497亿元,欧洲国家,1995
排名第29,中国香港,￥12079.88852亿元,亚洲,1995
排名第30,沙特阿拉伯,￥11954.62352亿元,亚洲国家,1995
排名第31,波兰,￥11615.32239亿元,欧洲国家,1995
排名第32,希腊,￥11438.19768亿元,欧洲国家,1995
排名第33,芬兰,￥11219.5685亿元,欧洲国家,1995
排名第34,尼日利亚,￥11042.5273亿元,非洲国家,1995
排名第35,葡萄牙,￥9872.80273亿元,欧洲国家,1995
排名第36,伊朗,￥9689.33126亿元,亚洲国家,1995
排名第37,哥伦比亚,￥9289.40187亿元,美洲国家,1995
排名第38,以色列,￥8379.72744亿元,亚洲国家,1995
排名第39,马来西亚,￥7966.43645亿元,亚洲国家,1995
排名第40,新加坡,￥7339.52688亿元,亚洲国家,1995
排名第41,菲律宾,￥6857.92471亿元,亚洲国家,1995
排名第42,巴基斯坦,￥6635.03652亿元,亚洲国家,1995
排名第43,委内瑞拉,￥6465.92877亿元,美洲国家,1995
排名第44,智利,￥6146.50302亿元,美洲国家,1995
